permno_year,publn_nr,mahal_dist
US0001002007,28452,
US0001002008,79922,
US0001002008,88734,
US0001002008,267069,
US0001011989,323050,
US0001011990,323694,
US0001011990,324159,
US0001011991,325060,
US0001002002,340356,
US0001001998,346883,
US0001002008,371647,
US0001001997,469992,
US0001002002,531024,
US0001002002,531225,
US0001002005,534765,
US0001011986,638220,
US0001002000,993119,
US0001002000,996184,
US0001002000,1001105,
US0001002001,1024253,
US0001002001,1026856,
US0001002002,1035355,
US0001002003,1068274,
US0001002004,1090267,
US0001002004,1091753,
US0001002005,1101237,
US0001002005,1101603,
US0001001987,1177152,
US0001011988,1192361,
US0001011988,1195430,
US0001011988,1196150,
US0001011990,1216717,
US0001011990,1218674,
US0001011990,1221437,
US0001001991,1244284,
US0001011992,1252124,
US0001001992,1259990,
US0001001993,1278762,
US0001001993,1278926,
US0001001994,1292387,
US0001001994,1293285,
US0001001995,1311948,
US0001001996,1327981,
US0001001996,1328172,
US0001001997,1333324,
US0001001997,1339139,
US0001001997,1341782,
US0001001998,1354474,
US0001001998,1363832,
US0001001998,1363873,
US0001001998,1364525,
US0001001999,1370984,
US0001001999,1378260,
US0001011992,1474154,
US0001001988,1515039,
US0001001988,1529219,
US0001001995,1556161,
US0001001988,1570710,
US0001001997,1618483,
US0001001999,1634912,
US0001001995,1648029,
US0001011988,1652981,
US0001001997,1669574,
US0001001997,1687160,
US0001001989,1722536,
US0001002000,1765536,
US0001001997,1772204,
US0001001989,1835990,
US0001001999,1881706,
US0001001997,1903988,
US0001001995,1918167,
US0001011986,2039163,
US0001001996,2043333,
US0001001990,2199129,
US0001001998,2230443,
US0001001987,2239663,
US0001001998,2247983,
US0001002001,2249953,
US0001001998,2250052,
US0001001991,2300562,
US0001001987,2306337,
US0001002001,2359820,
US0001011987,2360543,
US0001001991,2388624,
US0001002001,2394668,
US0001011991,2415222,
US0001002001,2518795,
US0001002001,2521802,
US0001002001,2526696,
US0001002002,2532881,
US0001002002,2534335,
US0001002002,2553393,
US0001002002,2553602,
US0001002003,2578816,
US0001002003,2592101,
US0001002003,2604447,
US0001002003,2606991,
US0001002003,2610653,
US0001002003,2632863,
US0001002003,2634580,
US0001002003,2639452,
US0001002003,2641146,
US0001002003,2641439,
US0001002003,2643816,
US0001002003,2648799,
US0001002003,2659223,
US0001002004,2686430,
US0001002005,2721305,
US0001002006,2745677,
US0001002006,2745678,
US0001002006,2746504,
US0001002006,2755269,
US0001002001,3474966,
US0001002001,3476854,
US0001002003,3502562,
US0001001988,3699183,
US0001001995,3762884,
US0001001997,3785474,
US0001011986,4239050,
US0001001986,4242101,
US0001011986,4255821,
US0001011987,4259359,
US0001011987,4261412,
US0001011987,4272045,
US0001011987,4278410,
US0001001988,4289856,
US0001011987,4293217,
US0001001989,4301837,
US0001001989,4311051,
US0001001989,4311052,
US0001011989,4335828,
US0001011990,4341487,
US0001011990,4357622,
US0001011990,4361118,
US0001011990,4365023,
US0001011990,4366864,
US0001011992,4404052,
US0001001992,4405615,
US0001011992,4408386,
US0001001994,4476411,
US0001001994,4516259,
US0001001996,4588167,
US0001001997,4616211,
US0001001997,4623104,
